[["HAVA","ÜFLEME","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","basınçlı hava, basıncı düşürmek, serbest bırakmak, puflamak, püskürmek, çırpınmak, boşaltmak"],
["HAVA DURUMU","DİĞER","WTHR","WTHR","Weather sounds not fitting another category in this list. See also NATURAL DISASTER category.","ÇEŞİTLİ"],
["HAVA DURUMU","FIRTINA (KOMPOZİT KAYITLAR)","STORM","STORM","Composite storms, wind, rain, thunder, where elements aren't isolated. Mixed storm composite recordings. Also see WIND-TURBULENT for wind only elements and NATURAL-DISASTER.","kasırga, fırtına, tayfun, karla karışık yağmur, kum fırtınası, hortum, siklon, dolu fırtınası,"],
["HAVA DURUMU","YILDIRIM","THUN","THUN","Thunder and lightning, dry, wet, distant rumbles to sharp thunder cracks. Combination RAIN & THUNDER may best go into WEATHER-STORM","fırtına, şimşek, gök gürültüsü, şimşek çakması, yıldırım, gök gürültüsü, çatlama, yuvarlanma, gümbürtü"],
["ISLIK","İNSAN","WHSTHmn","WHST","Human whistles, wolf-whistles. See also CARTOON-WHISTLES.","düdük, tezahürat, insan, kurt düdüğü, işaret"],
["ISLIK","MEKANİK","WHSTMech","WHST","Train whistles, referee whistles, tea pot whistles, etc, any whistle not made by a human.","vapur, hakem, toot, polis düdüğü, çaydanlık, tren düdüğü"],
["ISLIK","DİĞER","WHSTMisc","WHST","Whistle sounds not fitting another category in this list.","ref, burun flütü"],
["RÜZGAR","TASARIM","WINDDsgn","WIND","Designed or manufactured or artificial winds, wind machines, synth winds.","rüzgar makinesi, sentetik, yapay, tonal"],
["RÜZGAR","GENEL","WIND","WIND","Base and general wind category.","ÇEŞİTLİ"],
["RÜZGAR","BORA","WINDGust","WIND","For more singular gusts or buffets, accents to cut into other winds. Usually shorter. A constant buffeting wind better off in the GENERAL or TURBULENT category.","bora, bora, esinti, esinti, büfe, waft, gale, flurry"],
["RÜZGAR","İÇ MEKAN","WINDInt","WIND","Interior wind, through window, or crack in door. Wind through chimney or vent pipe, but see also WIND-TONAL for overtly tonal winds and whistles.","iç mekan, panjur, çıngırak, inilti, cereyan"],
["RÜZGAR","TONAL","WINDTonl","WIND","Wind howls, wind in wires, wind whistles, overtly tonal winds.","uluma, ıslık, inilti, tonal"],
["RÜZGAR","ÇALKANTI & TÜRBÜLANS","WINDTurb","WIND","Extremely violent wind, big buffeting, huge storm winds. Possible overlap with NATURAL DISASTER-TORNADO or WEATHER-STORM.","büfe, türbülanslı rüzgar, kuvvetli rüzgar, şiddetli rüzgar, büfe"],
["RÜZGAR","BİTKİ","WINDVege","WIND","Wind through foliage, vegetation, grass, trees, leaves, plants.","yeşillik, bitki örtüsü, çimen, ağaç, yaprak, bitki, hışırtı"],
["PENCERE","ÖRTÜ","WNDWCover","WNDW","Window curtains, blinds, shutters. So a window covering, not the window itself.","perde, jaluzi, panjur, karartma, gölgelik"],
["PENCERE","DONANIM","WNDWHdwr","WNDW","Window latches, cranks, locks. Window hardware.","pencere mandalı, pencere krankları, pencere kilidi, pencere contası"],
["PENCERE","TIKLAMA","WNDWKnck","WNDW","Knocking on various window surfaces, knocking on GLASS.","tak, bölme, çıngırak"],
["PENCERE","METAL","WNDWMetl","WNDW","Metal framed windows, open and close.","metal çerçeve"],
["PENCERE","DİĞER","WNDWMisc","WNDW","Window sounds not fitting another category in this list.","ÇEŞİTLİ"],
["PENCERE","PLASTİK","WNDWPlas","WNDW","Plastic framed windows, plexiglass windows. Vinyl framed windows, open and close.","plastik çerçeve"],
["PENCERE","TAHTA","WNDWWood","WNDW","Wood framed windows, open and close.","ahşap çerçeve"],
["KANAT","KUŞ","WINGBird","WING","Bird wing flaps, hummingbirds, pigeon wings. Group or single.","kuş kanadı, kanat çırpmak, çırpınmak"],
["KANAT","VARLIK","WINGCrea","WING","Dragon wings, fairy wings, any manner of creature and monster wings.","ejderha kanadı, peri kanadı, griffin kanadı, sfenks kanadı, melek kanadı, anka kuşu kanadı, dev kuş kanadı"],
["KANAT","BÖCEK","WINGInsc","WING","Fly and bee wings, dragonflies, moths, butterflies. Any insect wings. Some overlap and confusion with ANIMALS-INECTS likely.","sinek, arı, yusufçuk, güve, kelebek, böcek, bokböceği, eşek arısı, yaban arısı, çekirge"],
["KANAT","DİĞER","WINGMisc","WING","Wing sounds not fitting another category in this list.","ÇEŞİTLİ"],
["TAHTA","KIRMA","WOODBrk","WOOD","Wood breaks, shatters, cracks, crunches. Any destruction of wood that breaks the piece.","kırılır, çatlar, yırtılır, parçalanır, çatırdar, kıymıklanır"],
["TAHTA","ÇÖKME & MOLOZ","WOODCrsh","WOOD","Group wood crashes and debris, and pieces falling, as in after an explosion.","düşmek, enkaz, kaza, düştü, kereste"],
["TAHTA","SÜRTÜNME","WOODFric","WOOD","Wood stress, especially creaks. But also scrapes, squeaks.","stres, sıyrıklar, gıcırtılar, gıcırtılar, gıcırtı"],
["TAHTA","KULLANMAK","WOODHandl","WOOD","Handling a wooden object, picking up, setting down, etc. Some overlap or confusion with WOOD-MOVEMENT.","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["TAHTA","DARBE","WOODImpt","WOOD","Singular wood hits, drops, impacts, board hits. Group wood destruction goes into CRASH. Resonant wood bonks or hits. Hitting your head on a doorframe.","vurmak, düşürmek, çarpmak, çarpışmak, takırdamak, çınlamak, çınlamak, kesmek"],
["TAHTA","DİĞER","WOODMisc","WOOD","Wood sounds not fitting another category in this list.","ÇEŞİTLİ"],
["TAHTA","HAREKET","WOODMvmt","WOOD","Wood movement including rattles, drag, slides, rolls. Group pieces of wood moving together.","sürüklemek, yuvarlamak, takırdatmak, sallamak"],
["TAHTA","TONAL","WOODTonl","WOOD","Tonal bowed wood sounds, ringing wood.","eğilmiş, halka, wronk, shing, çözgü"]]
